snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hydro,Nuclear,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-06-15 21:00:00,0.0,178.29595215377998,221.7108284033,105.0,0.0,3.71466112,1178.0,0.0,0.0,71.4744083837,29.5943152527,188.526728612,3699.9476671181474
2030-06-15 22:00:00,0.0,177.50105045134998,208.8283321403,105.0,0.0,3.71466112,1178.0,0.0,0.0,59.153431996,23.247008114,85.5946605546,3275.97190474645
2030-06-15 23:00:00,0.0,177.25191441719,204.7907335048,105.0,0.0,3.71466112,1178.0,0.0,0.0,55.2918234665,21.0063218075,81.6077587228,2982.4757149621823
2030-06-16 00:00:00,0.0,176.84788573712999,198.2428824369,105.0,0.0,3.71466112,1178.0,0.0,0.0,49.0293789254,19.0979699318,75.9064212305,3034.961167896693
2030-06-16 01:00:00,0.0,176.76561689906998,196.9096006041,105.0,0.0,3.71466112,1178.0,0.0,0.0,47.7542119356,16.6159855348,47.4903159134,2997.6500215397373
2030-06-16 02:00:00,0.0,176.76439083590998,196.889730532,105.0,0.0,3.71466112,1178.0,0.0,0.0,47.7352079567,15.2438277737,40.6739229506,2948.6058580734502
2030-06-16 03:00:00,0.0,176.76733747437999,196.9374849385,105.0,0.0,3.71466112,1178.0,0.0,0.0,47.7808808528,14.2064118783,68.8488653016,2907.49109556593
2030-06-16 04:00:00,0.0,176.75086735925998,196.6705636376,105.0,0.0,3.71466112,1178.0,0.0,0.0225717499614,47.5255940685,13.9700334869,120.53296076,2879.773375704862
2030-06-16 05:00:00,0.0,176.97601342425,200.3193711971,105.0,0.0,3.71466112,1178.0,0.0,28.0767899115,51.0153580758,13.0958528848,156.568495039,2979.803216507413
2030-06-16 06:00:00,0.0,176.79627256496,197.4064186383,105.0,0.0,3.71466112,1178.0,0.0,109.274357256,48.2293747568,12.7176641916,196.948336211,3359.246261971775
2030-06-16 07:00:00,0.0,176.82177467869,197.8197161364,105.0,0.0,3.71466112,1178.0,0.0,260.240577447,48.6246575197,13.4206332698,213.853292347,3870.8754151814323
2030-06-16 08:00:00,0.0,177.19813520011,203.9191659123,105.0,0.0,3.71466112,1178.0,0.0,405.452789116,54.4582456017,13.9603090847,181.520729696,4083.8627246847714
2030-06-16 09:00:00,0.0,177.48262272206,208.5296849577,105.0,0.0,3.71466112,1178.0,0.0,548.723590266,58.8678021919,15.6148336051,123.264689301,4124.398451890159
2030-06-16 10:00:00,0.0,177.39099493521,207.0447282418,105.0,0.0,3.71466112,1178.0,0.0,651.989638265,57.4475714958,19.4893200293,105.087933672,4089.5420100161605
2030-06-16 11:00:00,0.0,177.42079235689,207.5276372255,105.0,0.0,3.71466112,1178.0,0.0,672.998840291,57.9094315317,30.1793799421,73.7219671337,4049.1169887167107
2030-06-16 12:00:00,0.0,177.34019913849,206.2215111578,105.0,0.0,3.71466112,1178.0,0.0,604.318668422,56.6602366465,40.3105829136,64.0249300149,3990.0658796352996
2030-06-16 13:00:00,0.0,177.12780413036,202.7793523473,105.0,0.0,3.71466112,1178.0,0.0,510.591095029,53.3681140206,49.754114461,82.3147306308,3911.1282272938683
2030-06-16 14:00:00,0.0,177.31159099808,205.7578761439,105.0,0.0,3.71466112,1178.0,0.0,468.284968447,56.2168104703,59.4510085235,123.006855571,3838.314492827607
2030-06-16 15:00:00,0.0,177.47506608611,208.4072190805,105.0,0.0,3.71466112,1178.0,0.0,438.117866185,58.7506743347,71.3568496575,168.639846535,3789.473651972878
2030-06-16 16:00:00,0.0,177.79903284181998,213.6575544452,105.0,0.0,3.71466112,1178.0,0.0,350.984473035,63.7721590482,83.506983362,206.946545919,3857.6261613015668
2030-06-16 17:00:00,0.0,178.16227448742,219.54439445039998,105.0,0.0,3.71466112,1178.0,0.0,247.535756472,69.4024045551,98.9550778526,228.651314797,3915.809712335795
2030-06-16 18:00:00,0.0,178.56716141171,226.1061545687,105.0,0.0,3.71466112,1178.0,0.0,134.377093046,75.6781518814,102.12425082,304.681780231,3904.9182048251914
2030-06-16 19:00:00,0.0,178.28217937762,221.48762126079998,105.0,0.0,3.71466112,1178.0,0.0,37.5839070479,71.2609303531,105.461898451,407.675918607,3865.6660872742673
2030-06-16 20:00:00,0.0,178.24817655931,220.93655793,105.0,0.0,3.71466112,1178.0,0.0,1.51579480113,70.7338866693,117.911464842,535.378512482,3782.6409992293043
2030-06-16 21:00:00,0.0,177.29536200872,205.4948626238,105.0,0.0,3.71466112,1178.0,0.0,0.0,55.9652611351,134.69581177,716.241959338,3621.5469022421116
2030-06-16 22:00:00,0.0,176.54795390624,193.38206671749998,105.0,0.0,3.71466112,1178.0,0.0,0.0,44.3804355467,161.40028725,968.43212371,3365.1621540433052
2030-06-16 23:00:00,0.0,176.55804849292,193.5456636438,105.0,0.0,3.71466112,1178.0,0.0,0.0,44.5369016403,182.152358679,1176.66557079,3110.610565404579
2030-06-17 00:00:00,0.0,176.56609964101,193.67614378349998,105.0,0.0,3.71466112,1178.0,0.0,0.0,44.6616944356,197.595554528,1316.36142895,2931.285448770338
2030-06-17 01:00:00,0.0,176.65764569031,195.159775828,105.0,0.0,3.71466112,1178.0,0.0,0.0,46.0806581997,205.863581765,1407.65102423,2848.633902711912
