snapshot,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
2030-09-16 12:00:00,1470.798128193967,3988.3293164049096,3014.906872510856,2711.81798067924,3131.2807252324874,3434.0035131741843,4987.030970351059,4954.543358317306,3082.9365151919214,1967.9016992469926,3218.575038808849,1031.4253095797415
2030-09-16 13:00:00,1456.2572678109607,3948.8992011228715,2985.1003755752245,2685.007933885393,3100.3237128643023,3400.053670104195,4937.727316997457,4905.560889646839,3052.457451765234,1948.4462870407176,3186.75500220803,1021.2282532097319
2030-09-16 14:00:00,1446.571054607061,3922.6333204792104,2965.2451485408374,2667.148754826413,3079.702084291041,3377.4384046004307,4904.884301829504,4872.931827658872,3032.1542029319594,1935.486306294326,3165.5584807813034,1014.4356109966532
2030-09-16 15:00:00,1471.4956326722797,3990.2207231900097,3016.3366479538354,2713.1040206527987,3132.7656892712885,3435.6320390629967,4989.395996773534,4956.892977965425,3084.3985526969195,1968.8349478157745,3220.1014008977863,1031.9144479316922
2030-09-16 16:00:00,1530.320022403532,4149.733462285529,3136.917476466164,2821.5628463188154,3258.000875669855,3572.9745860279513,5188.851685340381,5155.049328495951,3207.7002183776103,2047.540933559341,3348.8279126011,1073.166175974002
2030-09-16 17:00:00,1598.91707960455,4335.746518060811,3277.5307497801036,2948.0402530910324,3404.0417489234624,3733.134250978682,5421.44352930505,5386.125971605872,3351.486349475975,2139.322574317198,3498.940135217297,1121.2711739363658
2030-09-16 18:00:00,1639.547249134579,4445.922410428921,3360.8162632705116,3022.953065514089,3490.542040345869,3827.9971300049874,5559.208127921773,5522.993113828508,3436.651152763001,2193.6850174874357,3587.851894734221,1149.763857182602
2030-09-16 19:00:00,1627.26580694978,4412.619107294103,3335.641221408878,3000.3088731487464,3464.3952548325233,3799.3225520319847,5517.565477334926,5481.621740938625,3410.9080505350776,2177.2526665880323,3560.976185213767,1141.1512610249656
2030-09-16 20:00:00,1544.0195546992697,4186.882167623641,3164.9993819818587,2846.8216750420306,3287.1667282773897,3604.960105407265,5235.30264997552,5201.197692059104,3236.4157759690806,2065.870663769683,3378.8068552208865,1082.7732349363216
2030-09-16 21:00:00,1418.7665355187241,3847.2364482077437,2908.2502189992692,2615.8835312974184,3020.507179819293,3312.5207150812644,4810.607599166359,4779.269282990364,2973.8732155268135,1898.2843549783615,3104.713331886742,994.9371603536555
2030-09-16 22:00:00,1283.52071069144,3480.493468501636,2631.0173622707453,2366.5209216041485,2732.573277584958,2996.750230542148,4352.02997107776,4323.679021965911,2690.38475854919,1717.3278502128248,2808.752365151812,900.0934397452127
2030-09-16 23:00:00,1170.1981133662287,3173.199198499898,2398.723704196752,2157.5797683942687,2491.3132039313155,2732.1658597320993,3967.7873672369424,3941.9395356542677,2452.849527443559,1565.704233372081,2560.7664069892317,820.6238016025119
2030-09-17 00:00:00,1087.0266413873508,2947.6650387649856,2228.235152668697,2004.2304481385822,2314.24388210911,2537.978009274304,3685.778097128836,3661.7673922477325,2278.5139996299627,1454.42228522527,2378.7607200626953,762.2982166091757
2030-09-17 01:00:00,1067.0816555938052,2893.5806814144935,2187.351041118372,1967.4564204440107,2271.781664906636,2491.410672824572,3618.150691335384,3594.5805397484805,2236.707361574603,1427.736249472171,2335.1147348020745,748.3114139662243
2030-09-17 02:00:00,1042.654723225623,2827.3427330473105,2137.27963780375,1922.4187003523946,2219.777531208854,2434.3789361365416,3535.3263622207014,3512.2957630623328,2185.5061257908287,1395.0534490298264,2281.660822067332,731.1815605913952
2030-09-17 03:00:00,1034.1202996470627,2804.2001337303086,2119.7853999428985,1906.6831599873196,2201.6080247754107,2414.452856554376,3506.3887168127367,3483.5466296172526,2167.617140496316,1383.6345422876989,2262.9847834091197,725.1966328757131
2030-09-17 04:00:00,1084.9241883801792,2941.9638655012136,2223.925451766211,2000.3540019022914,2309.767828971113,2533.0692248024498,3678.649315782516,3654.6850507739596,2274.107052800867,1451.6092405483093,2374.1598828441574,760.8238312382468
2030-09-17 05:00:00,1301.8472806330012,3530.1892049633257,2668.5839736276757,2400.3109577342107,2771.5899407949537,3039.538907218689,4414.169818910648,4385.414064759441,2728.7990389239108,1741.848474381454,2848.85674074911,912.9452973272728
2030-09-17 06:00:00,1565.5805548374142,4245.348633750822,3209.196071009822,2886.5752664664665,3333.069386742293,3655.3004946167985,5308.409470945372,5273.828264525427,3281.6097379110674,2094.7188979331436,3425.989194881326,1097.8932985371925
2030-09-17 07:00:00,1669.5364728580291,4527.243495804062,3422.2894967292173,3078.2463886159653,3554.388108959807,3898.0156442045873,5660.8925022888225,5624.0150735195775,3499.511494442121,2233.810064693569,3653.477873622345,1170.794373723303
2030-09-17 08:00:00,1700.8411889602403,4612.131771481631,3486.4592844855088,3135.9651811400477,3621.0348174785995,3971.105555738481,5767.037312869644,5729.46841227156,3565.129236618426,2275.6952172723477,3721.982569074533,1192.747404447293
2030-09-17 09:00:00,1701.1445793932326,4612.954468312029,3487.0811875760473,3136.524564250199,3621.6807257081778,3971.8139084299814,5768.066017935579,5730.4904159211055,3565.7651725951605,2276.101148268027,3722.6464840305853,1192.960162789362
2030-09-17 10:00:00,1708.930533170084,4634.067459353512,3503.0411790262037,3150.880096150916,3638.256764609548,3989.992468839186,5794.465828946053,5756.7182474867,3582.085292089551,2286.5186157464077,3739.684632229934,1198.4202117455866
2030-09-17 11:00:00,1712.790556040502,4644.53459422469,3510.9536241517376,3157.9971023703124,3646.4746260423326,3999.0048083600586,5807.553997357496,5769.721154078014,3590.176276996705,2291.683257596446,3748.131592435964,1201.1271265884784
2030-09-17 12:00:00,1687.9332201820678,4577.129530653082,3459.9999607799136,3112.165815913987,3593.5541775034694,3940.9681702723906,5723.270300370033,5685.986516453681,3538.072873464055,2258.4245849500294,3693.7358196976043,1183.695444536642
2030-09-17 13:00:00,1664.8315196392643,4514.485182820788,3412.645076110112,3069.57152257397,3544.371418671298,3887.030570472955,5644.939430982671,5608.165927212975,3489.649453008733,2227.514921086435,3643.181936540025,1167.494935318264
2030-09-17 14:00:00,1655.5028642016,4489.188883314096,3393.5227867549875,3052.371598895468,3524.511018794285,3865.250126962691,5613.308785901219,5576.74133742412,3470.0956801726643,2215.033346262832,3622.7678654572833,1160.9530373253895
2030-09-17 15:00:00,1708.7656296629693,4633.620294321687,3502.703152544275,3150.5760515052925,3637.9056904794875,3989.6074539197953,5793.906691100188,5756.162752099349,3581.7396382341235,2286.2979777909727,3739.3237708026336,1198.3045700082087
2030-09-17 16:00:00,1748.7076339100722,4741.9301047851395,3584.5780344863106,3224.2200433117437,3722.9409007021736,4082.863612109358,5929.337929677293,5890.711734768619,3665.4619798817494,2339.739668069517,3826.72960536647,1226.3146641918277
