snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hydro,Oil,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-01-03 18:00:00,0.0,68.989851016,205.331264571,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.37406241166,0.0,7301.531417093543
2030-01-03 19:00:00,0.0,69.06138934927,205.7519967428,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.46903017348,0.0,7092.277697294032
2030-01-03 20:00:00,0.0,69.00933561174,205.4458576277,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.51312844375,0.0,6714.92886500105
2030-01-03 21:00:00,0.0,69.01019606287,205.450918124,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.53488293733,0.0,6221.891879088128
2030-01-03 22:00:00,0.0,69.04814835757,205.674123651,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.53020496326,0.0,5621.896708931873
2030-01-03 23:00:00,0.0,69.07744636283999,205.84643145889999,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.54218138409,0.0,5104.354918833983
2030-01-04 00:00:00,0.0,69.04346209895,205.6465627661,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.53882769629,0.0,4990.129752102006
2030-01-04 01:00:00,0.0,69.05761331995,205.7297891103,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.47253487198,0.0,4851.040141551193
2030-01-04 02:00:00,0.0,69.05818221326,205.733134893,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.42184323199,0.0,4674.375201102988
2030-01-04 03:00:00,0.0,69.04935725584,205.6812334392,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.36398880773,0.0,4525.906460327011
2030-01-04 04:00:00,0.0,69.08405974752999,205.8853261826,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.33100731811,0.0,4444.623831680537
2030-01-04 05:00:00,0.0,69.09167580667,205.93011784819998,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.28117471905,0.0,4614.136240995278
2030-01-04 06:00:00,0.0,69.08749444087,205.9055263455,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.21030004749,0.0,5109.319755288967
2030-01-04 07:00:00,0.0,68.39217881951,201.8162271109,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.15863861204,0.0,5702.156513412086
2030-01-04 08:00:00,0.0,69.01477565398,205.4778516746,60.0,0.0,0.0,0.0,0.0,0.0,540.0,1.10005398413,0.0,6205.7433809620625
2030-01-04 09:00:00,0.0,69.41883212479999,207.8541938222,60.0,0.0,0.0,0.0,0.0,4.61645109835,540.0,1.04842944241,0.0,6614.844547722044
2030-01-04 10:00:00,0.0,69.17256532366,206.4058463228,60.0,0.0,0.0,0.0,0.0,12.1829972528,540.0,0.925242932091,0.0,6845.058246334199
2030-01-04 11:00:00,0.0,69.05643286634,205.7228466112,60.0,0.0,0.0,0.0,0.0,16.9655972456,540.0,0.851752190116,0.0,6964.389843490217
2030-01-04 12:00:00,0.0,69.03226201199,205.5806926697,60.0,0.0,0.0,0.0,0.0,19.0321960209,540.0,0.791194000037,0.0,7001.962911503118
2030-01-04 13:00:00,0.0,69.05956177952,205.741248416,60.0,0.0,0.0,0.0,0.0,17.1880490912,540.0,0.709147565739,0.0,6950.145852104515
2030-01-04 14:00:00,0.0,69.06837251460999,205.7930662252,60.0,0.0,0.0,0.0,0.0,12.3789969591,540.0,0.706580317687,0.0,6897.563823371481
2030-01-04 15:00:00,0.0,69.06452537362,205.77044036979999,60.0,0.0,0.0,0.0,0.0,6.10048147489,540.0,0.738418716699,0.0,6992.945230419416
2030-01-04 16:00:00,0.0,69.3053663549,207.1868774669,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.728066405367,0.0,7293.4691560183055
2030-01-04 17:00:00,0.0,69.14102730099,206.2203644956,60.0,0.0,0.0,0.0,0.0,0.0,540.0,0.749025959666,0.0,7464.046912927716
