snapshot,BECCS,Biogas,Biomass,CCGT,DSR,Hard coal,Hydro,Other RES,PV,SCGT,Wind,Wind offshore,demand
2030-09-26 09:00:00,0.0,107.8786811964,2173.3342088771,1200.0,0.0,0.0,1.97978176,0.0,479.864059431,2196.828570214,169.583098977,44.3547390541,3460.178545968182
2030-09-26 10:00:00,0.0,102.8483414462,2160.5692804379,1200.0,0.0,0.0,1.97978176,0.0,615.072716326,1892.275654963,160.838397965,33.1105571766,3444.2814558860223
2030-09-26 11:00:00,0.0,104.5843328572,2164.9745109457003,1200.0,0.0,0.0,1.97978176,0.0,680.921349683,1997.378147304,158.930137192,22.8109326149,3432.573049944008
2030-09-26 12:00:00,0.0,102.99838399059999,2160.9500265578004,1200.0,0.0,0.0,1.97978176,0.0,692.209702723,1901.359712219,158.627299052,21.3631724781,3370.268971459332
2030-09-26 13:00:00,0.0,103.2414644988,2161.5668646734002,1200.0,0.0,0.0,1.97978176,0.0,687.604147875,1916.076586444,163.462779806,22.1270815868,3340.566398522999
2030-09-26 14:00:00,0.0,102.17021204256,2158.8484675824,1200.0,0.0,0.0,1.97978176,0.0,634.084576413,1851.219524157,174.268882366,22.3608941156,3317.417874647685
2030-09-26 15:00:00,0.0,102.73981094829999,2160.2938747778003,1200.0,0.0,0.0,1.97978176,0.0,503.045411159,1885.70487025,182.094523962,20.5105046519,3418.9981142777515
2030-09-26 16:00:00,0.0,107.5376964797,2172.4689302431,1200.0,0.0,0.0,1.97978176,0.0,298.616017306,2176.184260946,195.068141709,18.4320688125,3514.0986925515595
2030-09-26 17:00:00,0.0,107.6136529316,2172.6616764036003,1200.0,0.0,0.0,1.97978176,0.0,88.5582914848,2180.782908353,196.268922272,17.102078147,3579.324676321774
2030-09-26 18:00:00,0.0,108.56275271519999,2175.070100371,1200.0,0.0,0.0,1.97978176,0.0,0.0,2238.244455742,195.523852292,19.0016068148,3579.759242729366
2030-09-26 19:00:00,0.0,108.55287125909999,2175.0450253094,1200.0,0.0,0.0,1.97978176,0.0,0.0,2237.6462006760003,209.226648091,29.5874269876,3501.6980980773756
2030-09-26 20:00:00,0.0,101.27760373214,2156.5833956842002,1200.0,0.0,0.0,1.97978176,0.0,0.0,1797.178151882,221.734704584,47.4443859251,3283.413668593022
2030-09-26 21:00:00,0.0,100.27937804986999,2154.0503104389,1200.0,0.0,0.0,1.97978176,0.0,0.0,1736.742364896,233.601169027,62.634031835,2951.8515329049355
2030-09-26 22:00:00,0.0,97.76682336745999,2147.6744825002,1200.0,0.0,0.0,1.97978176,0.0,0.0,1584.624239432,259.384179753,76.0382178244,2578.5767652563277
2030-09-26 23:00:00,0.0,97.44684295177,2146.8625041228,1200.0,0.0,0.0,1.97978176,0.0,0.0,1565.251597969,257.772173052,76.8275569842,2333.6782200042658
2030-09-27 00:00:00,0.0,99.98419230948,2153.3012507253,1200.0,0.0,0.0,1.97978176,0.0,0.0,1718.870872662,261.111944494,74.9403740159,2286.3416587764455
2030-09-27 01:00:00,0.0,98.12596546654,2148.585837085,1200.0,0.0,0.0,1.97978176,0.0,0.0,1606.367854912,262.519431338,69.8399625603,2256.488669525338
2030-09-27 02:00:00,0.0,97.21698737384,2146.2792254281003,1200.0,0.0,0.0,1.97978176,0.0,0.0,1551.335403473,265.65864955,68.3071607683,2199.8228782289166
2030-09-27 03:00:00,0.0,100.06627294683,2153.5095375437,1200.0,0.0,0.0,1.97978176,0.0,0.0,1723.840297917,263.130033826,64.913618011,2179.6997734121273
2030-09-27 04:00:00,0.0,99.98977028383,2153.3154053246003,1200.0,0.0,0.0,1.97978176,0.0,0.0,1719.208581134,263.895356024,71.8827731277,2273.3031623855154
2030-09-27 05:00:00,0.0,103.70266532139999,2162.737202223,1200.0,0.0,0.0,1.97978176,0.0,0.0,1943.9991646429999,263.112548966,79.99394508,2682.046233799956
2030-09-27 06:00:00,0.0,110.124519325,2179.0332201609003,1200.0,0.0,0.0,1.97978176,0.0,0.0,2332.7988193829997,263.911769078,86.936047768,3217.0322140411345
2030-09-27 07:00:00,0.0,110.3934207234,2179.7155810505,1200.0,0.0,0.0,1.97978176,0.0,67.8068345328,2349.078973181,262.798039271,111.474888562,3447.8124105042916
2030-09-27 08:00:00,0.0,109.17603195999999,2176.6263502592,1200.0,0.0,0.0,1.97978176,0.0,195.229734634,2275.374349777,265.225796126,125.73728708,3490.1064698924674
2030-09-27 09:00:00,0.0,110.564219291,2180.1489974004003,1200.0,0.0,0.0,1.97978176,0.0,334.08480634,2359.419666707,278.133164817,110.39811631,3476.6278006676666
2030-09-27 10:00:00,0.0,110.7446344851,2180.6068167835,1200.0,0.0,0.0,1.97978176,0.0,447.241787737,2370.342581664,295.145503497,87.1425281399,3467.2379938468425
2030-09-27 11:00:00,0.0,110.78808309829999,2180.7170714515,1200.0,0.0,0.0,1.97978176,0.0,529.70172322,2372.973100175,311.821433365,98.0688265132,3464.053543720971
2030-09-27 12:00:00,0.0,107.9283036507,2173.4601302084,1200.0,0.0,0.0,1.97978176,0.0,594.6135409,2199.8328728779998,310.825176159,115.288357366,3430.0616444556986
2030-09-27 13:00:00,0.0,107.3986774692,2172.1161573075,1200.0,0.0,0.0,1.97978176,0.0,586.357089529,2167.7676038150003,314.730323254,133.046545405,3374.4439813890435
2030-09-27 14:00:00,0.0,102.37091980795,2159.3577811456003,1200.0,0.0,0.0,1.97978176,0.0,501.386372251,1863.371016521,315.832972545,145.719536037,3351.192353967057
2030-09-27 15:00:00,0.0,105.3714231069,2166.9718215075,1200.0,0.0,0.0,1.97978176,0.0,376.177156245,2045.031117483,306.700286549,136.026888728,3451.7844951511624
2030-09-27 16:00:00,0.0,105.9462358462,2168.4304592631,1200.0,0.0,0.0,1.97978176,0.0,209.627824323,2079.832125797,312.378334187,123.887844142,3561.3439100536807
2030-09-27 17:00:00,0.0,106.2492175092,2169.1993018142,1200.0,0.0,0.0,1.97978176,0.0,55.1397390802,2098.175608209,309.127183049,127.967945234,3608.8926950274363
2030-09-27 18:00:00,0.0,104.0608970686,2163.6462467099,1200.0,0.0,0.0,1.97978176,0.0,0.0,1965.687664497,301.235767451,150.762454185,3562.822365685805
2030-09-27 19:00:00,0.0,106.415944321,2169.6223857266,1200.0,0.0,0.0,1.97978176,0.0,0.0,2108.269784573,287.235245607,212.967695899,3439.262473688324
2030-09-27 20:00:00,0.0,100.93481486348,2155.7135388564,1200.0,0.0,0.0,1.97978176,0.0,0.0,1776.424613463,271.235942315,304.479023848,3208.4800893514976
2030-09-27 21:00:00,0.0,100.44772694330999,2154.4775105256003,1200.0,0.0,0.0,1.97978176,0.0,0.0,1746.934747283,258.41815138,362.729209597,2885.4219451323197
2030-09-27 22:00:00,0.0,98.36164729660999,2149.1839004057,1200.0,0.0,0.0,1.97978176,0.0,0.0,1620.636789415,243.300854976,371.956899349,2523.500600922859
2030-09-27 23:00:00,0.0,98.43704098549,2149.3752185057,1200.0,0.0,0.0,1.97978176,0.0,0.0,1625.201365344,229.705720508,346.320175844,2291.330967937502
2030-09-28 00:00:00,0.0,97.15620897085999,2146.1249948983,1200.0,0.0,0.0,1.97978176,0.0,0.0,1547.655683865,220.834666658,352.486196219,2297.47191910131
2030-09-28 01:00:00,0.0,97.60284416312,2147.258370883,1200.0,0.0,0.0,1.97978176,0.0,0.0,1574.696412049,220.627823957,372.619899153,2257.753260506275
2030-09-28 02:00:00,0.0,97.20862868824,2146.2580145301004,1200.0,0.0,0.0,1.97978176,0.0,0.0,1550.829341817,213.309777618,363.344235897,2195.8654249872106
2030-09-28 03:00:00,0.0,97.04691708771999,2145.8476571564,1200.0,0.0,0.0,1.97978176,0.0,0.0,1541.0388024469999,208.032536743,372.925299721,2175.933622374393
